datum,pricing_code,member_deal,discount,omzet,categorie
20-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-7.7,70.29,Kamperen
20-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.2,94.74,Kamperen
21-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.2,50.46,Kamperen
21-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.7,619.6,Kamperen
22-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.8,444.65,Kamperen
22-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.8,255.03,Kamperen
23-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.4,29.81,Kamperen
23-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-3.4,55.25,Kamperen
25-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.5,54.98,Kamperen
25-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-3.85,34.65,Kamperen
25-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.2,161.46,Kamperen
26-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.7,24.28,Kamperen
26-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.3,102.87,Kamperen
26-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.2,20.78,Kamperen
26-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.9,25.57,Kamperen
27-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-8,531.29,Kamperen
27-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.3,21.69,Kamperen
27-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.7,27.44,Kamperen
27-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.3,15.68,Kamperen
27-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.2,10.79,Kamperen
27-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.2,100.78,Kamperen
28-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.5,62.65,Kamperen
28-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-5,321.85,Kamperen
29-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1,43.63,Kamperen
30-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-0.8,50.96,Kamperen
31-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-3.8,131.11,Kamperen
1-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.2,60.78,Kamperen
1-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1,43.72,Kamperen
1-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.7,15.29,Kamperen
2-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.2,19.78,Kamperen
3-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.1,9.89,Kamperen
3-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-6.5,103.47,Kamperen
4-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.4,157.94,Kamperen
4-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.4,37.74,Kamperen
5-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.2,54.91,Kamperen
5-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.4,53.55,Kamperen
5-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.2,10.79,Kamperen
5-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.2,30.58,Kamperen
6-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-6.3,89.17,Kamperen
7-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.4,71.54,Kamperen
7-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1,223.1,Kamperen
7-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.2,75.86,Kamperen
7-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-4.5,665.15,Kamperen
7-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.4,214.52,Kamperen
8-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.2,65.25,Kamperen
8-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.2,15.73,Kamperen
9-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-3.9,70.87,Kamperen
9-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.2,15.78,Kamperen
9-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.4,87.56,Kamperen
10-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.7,24.27,Kamperen
10-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.2,31.68,Kamperen
22-5-2026,MBR-BAB-10,Bamboo Basic 10%,-3.8,54.87,Casual
23-5-2026,MBR-BAB-10,Bamboo Basic 10%,-3.8,41.18,Casual
23-5-2026,MBR-BAB-10,Bamboo Basic 10%,-3.8,513,Casual
27-5-2026,MBR-BAB-10,Bamboo Basic 10%,-3.8,134.17,Casual
6-6-2026,MBR-BAB-10,Bamboo Basic 10%,-19.2,362.72,Casual
20-5-2026,MBR-FAL-10,Falke 10%,-2.7,24.29,Outdoor
20-5-2026,MBR-FAL-10,Falke 10%,-2.7,407.82,Outdoor
20-5-2026,MBR-FAL-10,Falke 10%,-5.4,48.58,Outdoor
20-5-2026,MBR-FAL-10,Falke 10%,-12,110.95,Outdoor
20-5-2026,MBR-FAL-10,Falke 10%,-2,96.97,Outdoor
20-5-2026,MBR-FAL-10,Falke 10%,-4,123.96,Outdoor
20-5-2026,MBR-FAL-10,Falke 10%,-2.7,46.27,Outdoor
21-5-2026,MBR-FAL-10,Falke 10%,-2.4,221.07,Outdoor
22-5-2026,MBR-FAL-10,Falke 10%,-2.4,468.98,Outdoor
22-5-2026,MBR-FAL-10,Falke 10%,-2.7,169.27,Outdoor
22-5-2026,MBR-FAL-10,Falke 10%,-2.4,61.58,Outdoor
22-5-2026,MBR-FAL-10,Falke 10%,-2.7,24.29,Outdoor
23-5-2026,MBR-FAL-10,Falke 10%,-1.2,66.36,Outdoor
23-5-2026,MBR-FAL-10,Falke 10%,-5,156.92,Outdoor
25-5-2026,MBR-FAL-10,Falke 10%,-2.7,24.29,Outdoor
25-5-2026,MBR-FAL-10,Falke 10%,-2.7,473.7,Outdoor
25-5-2026,MBR-FAL-10,Falke 10%,-10.5,169.41,Outdoor
26-5-2026,MBR-FAL-10,Falke 10%,-2.7,30.28,Outdoor
26-5-2026,MBR-FAL-10,Falke 10%,-3.4,280.52,Outdoor
26-5-2026,MBR-FAL-10,Falke 10%,-4.8,38.18,Outdoor
26-5-2026,MBR-FAL-10,Falke 10%,-4.8,43.18,Outdoor
26-5-2026,MBR-FAL-10,Falke 10%,-5.7,247.25,Outdoor
27-5-2026,MBR-FAL-10,Falke 10%,-2.4,291.48,Outdoor
27-5-2026,MBR-FAL-10,Falke 10%,-2.4,341.55,Outdoor
27-5-2026,MBR-FAL-10,Falke 10%,-2.7,41.79,Outdoor
27-5-2026,MBR-FAL-10,Falke 10%,-8.4,225.29,Outdoor
28-5-2026,MBR-FAL-10,Falke 10%,-4.8,62.65,Outdoor
29-5-2026,MBR-FAL-10,Falke 10%,-4.1,151.86,Outdoor
29-5-2026,MBR-FAL-10,Falke 10%,-2.4,201.58,Outdoor
29-5-2026,MBR-FAL-10,Falke 10%,-2.4,232.03,Outdoor
29-5-2026,MBR-FAL-10,Falke 10%,-9.9,89.06,Outdoor
29-5-2026,MBR-FAL-10,Falke 10%,-2.4,21.59,Outdoor
29-5-2026,MBR-FAL-10,Falke 10%,-2.7,225.73,Outdoor
30-5-2026,MBR-FAL-10,Falke 10%,-2.4,237.03,Outdoor
30-5-2026,MBR-FAL-10,Falke 10%,-2.7,222.2,Outdoor
30-5-2026,MBR-FAL-10,Falke 10%,-10.4,123.55,Outdoor
31-5-2026,MBR-FAL-10,Falke 10%,-2.7,120.87,Outdoor
31-5-2026,MBR-FAL-10,Falke 10%,-4,185.97,Outdoor
31-5-2026,MBR-FAL-10,Falke 10%,-6,95.96,Outdoor
31-5-2026,MBR-FAL-10,Falke 10%,-2.4,261.58,Outdoor
31-5-2026,MBR-FAL-10,Falke 10%,-4.1,31.88,Outdoor
31-5-2026,MBR-FAL-10,Falke 10%,-3.6,355.33,Outdoor
1-6-2026,MBR-FAL-10,Falke 10%,-2,250.11,Outdoor
1-6-2026,MBR-FAL-10,Falke 10%,-13.9,120.05,Outdoor
1-6-2026,MBR-FAL-10,Falke 10%,-2,-17,Outdoor
1-6-2026,MBR-FAL-10,Falke 10%,-2.7,358.26,Outdoor
2-6-2026,MBR-FAL-10,Falke 10%,-2.4,21.59,Outdoor
2-6-2026,MBR-FAL-10,Falke 10%,-3,153.1,Outdoor
2-6-2026,MBR-FAL-10,Falke 10%,-5.4,525.47,Outdoor
2-6-2026,MBR-FAL-10,Falke 10%,-4,63.97,Outdoor
2-6-2026,MBR-FAL-10,Falke 10%,-2.7,24.29,Outdoor
3-6-2026,MBR-FAL-10,Falke 10%,-2,102.97,Outdoor
3-6-2026,MBR-FAL-10,Falke 10%,-2.7,362.79,Outdoor
5-6-2026,MBR-FAL-10,Falke 10%,-5.4,169.19,Outdoor
5-6-2026,MBR-FAL-10,Falke 10%,-2.4,101.57,Outdoor
5-6-2026,MBR-FAL-10,Falke 10%,-5,44.99,Outdoor
6-6-2026,MBR-FAL-10,Falke 10%,-2.4,54.58,Outdoor
6-6-2026,MBR-FAL-10,Falke 10%,-2.4,21.59,Outdoor
6-6-2026,MBR-FAL-10,Falke 10%,-5.4,183.56,Outdoor
8-6-2026,MBR-FAL-10,Falke 10%,-2.7,204.28,Outdoor
8-6-2026,MBR-FAL-10,Falke 10%,-7.8,180.85,Outdoor
9-6-2026,MBR-FAL-10,Falke 10%,-4.8,40.16,Outdoor
9-6-2026,MBR-FAL-10,Falke 10%,-2.7,84.28,Outdoor
10-6-2026,MBR-FAL-10,Falke 10%,-7.2,363.94,Outdoor
10-6-2026,MBR-FAL-10,Falke 10%,-5.7,131.23,Outdoor
5-6-2026,MBR-CRA-10,Craft 10%,-4.5,75.48,Sport
30-5-2026,MBR-BOC-10,Bo Camp Impregneer 10%,-1.2,50.96,Kamperen
23-5-2026,MBR-BAL-10,Ballen 10%,-0.9,181.05,Sport
25-5-2026,MBR-BAL-10,Ballen 10%,-0.9,130.04,Sport
26-5-2026,MBR-BAL-10,Ballen 10%,-0.9,370,Sport
29-5-2026,MBR-BAL-10,Ballen 10%,-1.15,180.29,Sport
29-5-2026,MBR-BAL-10,Ballen 10%,-1.1,164.87,Sport
29-5-2026,MBR-BAL-10,Ballen 10%,-0.9,3.09,Sport
30-5-2026,MBR-BAL-10,Ballen 10%,-1.1,44.88,Sport
1-6-2026,MBR-BAL-10,Ballen 10%,-0.5,26.99,Sport
4-6-2026,MBR-BAL-10,Ballen 10%,-1.6,51.39,Sport
10-6-2026,MBR-BAL-10,Ballen 10%,-2.55,322.95,Sport